filename,category,role,avg_price_usd,price_range_usd,applies_to_website_section,notes
00-hero-fulani-cornrow-portrait.webp,Hero / Fulani-Cornrow,Hero,250,$120-$450,Homepage hero banner,"Primary hero/banner image - direct eye contact, clean studio background"
01-boho-french-curl-01.webp,Boho / French-Curl Knotless Braids,Gallery,375,$200-$550,Gallery - Boho/French-Curl section,
01-boho-french-curl-02.webp,Boho / French-Curl Knotless Braids,Gallery,375,$200-$550,Gallery - Boho/French-Curl section,
01-boho-french-curl-03.webp,Boho / French-Curl Knotless Braids,Gallery,375,$200-$550,Gallery - Boho/French-Curl section,
01-boho-french-curl-04.webp,Boho / French-Curl Knotless Braids,Gallery,375,$200-$550,Gallery - Boho/French-Curl section,
01-boho-french-curl-05.webp,Boho / French-Curl Knotless Braids,Gallery,375,$200-$550,Gallery - Boho/French-Curl section,
01-boho-french-curl-06.webp,Boho / French-Curl Knotless Braids,Gallery,375,$200-$550,Gallery - Boho/French-Curl section,
01-boho-french-curl-07.webp,Boho / French-Curl Knotless Braids,Gallery,375,$200-$550,Gallery - Boho/French-Curl section,
01-boho-french-curl-08.webp,Boho / French-Curl Knotless Braids,Gallery,375,$200-$550,Gallery - Boho/French-Curl section,
01-boho-french-curl-09.webp,Boho / French-Curl Knotless Braids,Gallery,375,$200-$550,Gallery - Boho/French-Curl section,
01-boho-french-curl-10.webp,Boho / French-Curl Knotless Braids,Gallery,375,$200-$550,Gallery - Boho/French-Curl section,
01-boho-french-curl-11.webp,Boho / French-Curl Knotless Braids,Gallery,375,$200-$550,Gallery - Boho/French-Curl section,
02-fulani-cornrow-01.webp,Fulani / Cornrow Braids,Gallery,250,$120-$450,Gallery - Fulani/Cornrow section,
02-fulani-cornrow-02.webp,Fulani / Cornrow Braids,Gallery,250,$120-$450,Gallery - Fulani/Cornrow section,
02-fulani-cornrow-03.webp,Fulani / Cornrow Braids,Gallery,250,$120-$450,Gallery - Fulani/Cornrow section,
02-fulani-cornrow-04.webp,Fulani / Cornrow Braids,Gallery,250,$120-$450,Gallery - Fulani/Cornrow section,
03-straight-box-braids-01.webp,Straight / Sleek Box or Knotless Braids,Gallery,275,$150-$400,Gallery - Straight/Sleek Box Braids section,
03-straight-box-braids-02.webp,Straight / Sleek Box or Knotless Braids,Gallery,275,$150-$400,Gallery - Straight/Sleek Box Braids section,
03-straight-box-braids-03.webp,Straight / Sleek Box or Knotless Braids,Gallery,275,$150-$400,Gallery - Straight/Sleek Box Braids section,
03-straight-box-braids-04.webp,Straight / Sleek Box or Knotless Braids,Gallery,275,$150-$400,Gallery - Straight/Sleek Box Braids section,
03-straight-box-braids-05.webp,Straight / Sleek Box or Knotless Braids,Gallery,275,$150-$400,Gallery - Straight/Sleek Box Braids section,
03-straight-box-braids-06.webp,Straight / Sleek Box or Knotless Braids,Gallery,275,$150-$400,Gallery - Straight/Sleek Box Braids section,
03-straight-box-braids-07.webp,Straight / Sleek Box or Knotless Braids,Gallery,275,$150-$400,Gallery - Straight/Sleek Box Braids section,
04-colored-ombre-knotless-01.webp,Colored / Ombre Knotless Braids,Gallery,410,$350-$470,Gallery - Colored/Ombre Knotless section,
04-colored-ombre-knotless-02.webp,Colored / Ombre Knotless Braids,Gallery,410,$350-$470,Gallery - Colored/Ombre Knotless section,
04-colored-ombre-knotless-03.webp,Colored / Ombre Knotless Braids,Gallery,410,$350-$470,Gallery - Colored/Ombre Knotless section,
04-colored-ombre-knotless-04.webp,Colored / Ombre Knotless Braids,Gallery,410,$350-$470,Gallery - Colored/Ombre Knotless section,
04-colored-ombre-knotless-05.webp,Colored / Ombre Knotless Braids,Gallery,410,$350-$470,Gallery - Colored/Ombre Knotless section,
04-colored-ombre-knotless-06.webp,Colored / Ombre Knotless Braids,Gallery,410,$350-$470,Gallery - Colored/Ombre Knotless section,
04-colored-ombre-knotless-07.webp,Colored / Ombre Knotless Braids,Gallery,410,$350-$470,Gallery - Colored/Ombre Knotless section,
04-colored-ombre-knotless-08.webp,Colored / Ombre Knotless Braids,Gallery,410,$350-$470,Gallery - Colored/Ombre Knotless section,
04-colored-ombre-knotless-09.webp,Colored / Ombre Knotless Braids,Gallery,410,$350-$470,Gallery - Colored/Ombre Knotless section,
05-twists-01.webp,Twists (Passion/Spring),Gallery,300,$150-$450,Gallery - Twists section,
05-twists-02.webp,Twists (Passion/Spring),Gallery,300,$150-$450,Gallery - Twists section,
05-twists-03.webp,Twists (Passion/Spring),Gallery,300,$150-$450,Gallery - Twists section,
05-twists-04.webp,Twists (Passion/Spring),Gallery,300,$150-$450,Gallery - Twists section,
06-braid-parting-detail-01.webp,Process / Technique Detail,Process Detail,N/A,N/A,Optional behind-the-scenes / technique section,"Close-up parting/sectioning shot, not a finished style - no service price applies"
