category,name,style,description,price,featured
Box Braids,Knotless Box Braids,"Small, waist-length","Our most requested style. No knot at the root, so there is no tension and no itching. Allow 6-7 hours.",400,
Box Braids,Knotless Box Braids,"Medium, mid-back",The everyday knotless. Lighter on the scalp than classic box braids and lasts 6-8 weeks. Allow 4-5 hours.,250,yes
Box Braids,Knotless Box Braids,"Jumbo, shoulder-length","A quicker, bolder look. Great first appointment if you have never had braids. Allow 3 hours.",150,
Box Braids,Classic Box Braids,"Medium, mid-back","The traditional box braid with a sealed root. Firmer finish, holds its shape longer. Allow 5 hours.",200,
Box Braids,Bohemian Box Braids,"Medium, curly ends","Knotless braids left loose and curled from the mid-length down. Soft, undone finish. Allow 6 hours.",200,yes
Box Braids,Triangle Part Box Braids,"Medium, mid-back","Triangular parting instead of square, for a sharper pattern across the scalp. Allow 5-6 hours.",230,
Box Braids,Goddess Box Braids,"Colored or ombre, wavy pieces","Knotless braids blended into a second color, with loose wavy pieces through the length. Allow 6-7 hours.",350,
Cornrows,Straight-Back Cornrows,6-8 rows,Clean straight-back rows on your own hair. No extensions. A good protective base under a wig. Allow 1.5 hours.,85,
Cornrows,Straight-Back Cornrows,10-12 rows,Finer straight-back rows for a more detailed finish. No extensions. Allow 2 hours.,110,
Cornrows,Feed-In Cornrows,"Medium, with extensions",Hair fed in gradually so the rows thicken naturally from the hairline. Allow 3 hours.,150,
Cornrows,Fulani Braids,Cornrow and beads,"Centre-parted cornrows with side braids and beadwork, finished with box braids at the back. Allow 4-5 hours.",120,yes
Cornrows,Lemonade Braids,Side-swept,"All rows swept to one side. Bold, sculptural, and comfortable to sleep in. Allow 3-4 hours.",140,
Cornrows,Stitch Braids,"Medium, ultra-neat",Precise stitched parting with visible clean lines. The most detailed cornrow work we do. Allow 4 hours.,180,
Cornrows,Cornrow Ponytail,High or low,"Cornrows gathered into a single braided ponytail. Smart enough for work, sturdy enough for the gym. Allow 2.5 hours.",120,
Cornrows,Freestyle Cornrow Design,Custom pattern,"Curved, swirled or geometric parting designed with you at the chair. Price varies with complexity. Allow 4-5 hours.",200,
Twists,Senegalese Twists,"Medium, mid-back",Smooth rope twists with a silky finish. Lightweight and long-lasting. Allow 5 hours.,180,
Twists,Marley Twists,"Medium, mid-back","Chunkier twists using coarse Marley hair for a natural, matte look. Allow 4-5 hours.",170,
Twists,Passion Twists,"Medium, shoulder-length",Springy twists with a wet-look curl pattern. Popular through summer. Allow 4 hours.,150,yes
Twists,Havana Twists,"Jumbo, mid-back","Large, light twists that install quickly and sit softly. Allow 3-4 hours.",160,
Twists,Kinky Twists,"Small, shoulder-length",Fine twists with a coily texture that blends closely with natural hair. Allow 5-6 hours.,190,
Twists,Flat Twists,Natural hair,Two-strand twists flat to the scalp on your own hair. No extensions. Often worn as a base or overnight set. Allow 1.5 hours.,90,
Twists,Twist Out Set,Natural hair,"Twisted, dried and unravelled for a full defined curl. Includes wash and conditioning. Allow 2 hours.",100,
Kids,Kids Cornrows,"Under 12, 6-8 rows","Straight-back rows on natural hair. Gentle tension, and we work at their pace. Allow 1 hour.",60,
Kids,Kids Box Braids,"Under 12, shoulder-length","Knotless box braids sized for children, finished with beads if they would like. Allow 2.5 hours.",110,
Kids,Kids Twists with Beads,Under 12,Two-strand twists with colorful beads and cuffs. Allow 1.5 hours.,75,
Kids,Kids Cornrow Ponytail,Under 12,Cornrows gathered into a neat ponytail. Holds well through school and sport. Allow 1.5 hours.,70,
Maintenance,Takedown and Removal,All styles,"Careful removal of any braids or twists. Includes a detangle. Free when booked with a new full style.",60,
Maintenance,Wash and Blow-Dry,Natural hair,"Cleanse, condition and stretch. Book before any long appointment for the best result. Allow 1 hour.",50,
Maintenance,Deep Conditioning Treatment,Add-on,Steam treatment for hair that feels dry or brittle after a long protective style. Allow 45 minutes.,45,
Maintenance,Scalp Treatment,Add-on,"Clarifying cleanse and oil massage for a tight, flaky or sore scalp. Allow 30 minutes.",40,
Maintenance,Braid Refresh,Add-on,Edges and the front two rows redone to carry an existing style a few more weeks. Allow 1 hour.,65,
Add-Ons,Hair Extensions Supplied,Per style,"We supply the braiding hair so you do not have to shop for it. Charged per style, not per pack.",40,
Add-Ons,Beads and Cuffs,Per style,"Beads, cuffs or thread added to any braided style. Choose your colors at the chair.",15,
Add-Ons,Curl Ends and Dip,Per style,Braid ends sealed in hot water and set into a curl. Adds bounce to box braids and twists.,25,
